case,Q_veh_h,T_work_h,mean_deltaH,median_deltaH,median_rel_deltaH,p_benefit,p_benefit_lo95,p_benefit_hi95
highPR,800,0.25,-1.900992757747173e-07,-2.0188348598362285e-08,-0.10654033050578063,0.58425000000000005,0.57740401921852302,0.59106362270602353
highPR,800,0.5,-4.206340697707865e-07,-4.513893748832906e-08,-0.11458606476825547,0.59265000000000001,0.5858233247821264,0.59944109093667752
highPR,800,1,-8.4702336715293853e-07,-8.8639597024513794e-08,-0.11703006146138073,0.59235000000000004,0.58552259993405598,0.59914193100638158
highPR,800,2,-1.6831833525853654e-06,-1.841390093830903e-07,-0.11614751074726598,0.59219999999999995,0.5853722384952641,0.59899235005599005
highPR,800,4,-3.4029866587241276e-06,-3.7531380839120634e-07,-0.12300719884838578,0.59799999999999998,0.59118669344258534,0.60477566749041811
highPR,1000,0.050000000000000003,-2.0063207496440196e-08,-3.1517917823466527e-10,-0.006112762148105683,0.50565000000000004,0.49872050356707448,0.5125773264254917
highPR,1000,0.10000000000000001,-7.2281468717088353e-08,-5.5728907331210889e-09,-0.057410899598794814,0.54864999999999997,0.54174467411852145,0.5555366407732194
highPR,1000,0.25,-2.3070922745741458e-07,-2.298910815102292e-08,-0.094867702479995458,0.57945000000000002,0.57259390527686982,0.58627558019381509
highPR,1000,0.5,-5.0349510812332976e-07,-5.331738624872213e-08,-0.11354695608793459,0.59025000000000005,0.58341759950789518,0.59704773798397803
highPR,1000,1,-1.0238038065148871e-06,-1.1510844649325609e-07,-0.12075124118743358,0.59784999999999999,0.59103630718475475,0.60462611135906552
highPR,1000,2,-2.1818980424391863e-06,-2.4201350335084087e-07,-0.12651924806546522,0.60355000000000003,0.59675145084839709,0.6103087784843837
highPR,1000,4,-4.2943486243324256e-06,-4.7068555305960148e-07,-0.12725214449247169,0.59719999999999995,0.5903846410384368,0.60397802715225635
baseline_fastDeploy,50,0.050000000000000003,1.4885374693548907e-10,2.2414390000339518e-10,0.053122277417170211,0.1366,0.13191019694731418,0.14142937485826265
baseline_fastDeploy,50,0.10000000000000001,-4.3166009823067299e-10,2.180317947054184e-10,0.026541037546827882,0.13869999999999999,0.13397919632437971,0.14355956892976146
baseline_fastDeploy,50,0.25,-2.4286453565078977e-09,2.1768251316201063e-10,0.010600676126764238,0.15190000000000001,0.14699253569018855,0.15694115981207146
baseline_fastDeploy,50,0.5,-5.2969445252289242e-09,2.1721180248700048e-10,0.0053173488123672754,0.14754999999999999,0.14270253472529032,0.15253283149065777
baseline_fastDeploy,50,1,-1.2018842185334066e-08,2.1243198169162198e-10,0.0026565958542248405,0.15079999999999999,0.14590757198607757,0.15582654599550583
baseline_fastDeploy,50,2,-2.3843026387545399e-08,2.1116384385244116e-10,0.0013283059057383605,0.14865,0.14378722587570486,0.15364771786091985
